layer,k,control_type,n,normal_margin_mean,intervened_margin_mean,delta_toward_yes_mean,no_to_yes_flips,no_to_yes_flip_rate
22,10,random_neurons_2,95,-0.6588815789473684,-0.6546052631578947,0.0042763157894736845,1,0.010526315789473684
22,10,top_writer_neurons,95,-0.6588815789473684,-0.6398026315789473,0.019078947368421053,2,0.021052631578947368
22,20,random_neurons_0,95,-0.6588815789473684,-0.6506578947368421,0.008223684210526315,1,0.010526315789473684
22,20,random_neurons_1,95,-0.6588815789473684,-0.65,0.008881578947368421,0,0.0
22,20,random_neurons_2,95,-0.6588815789473684,-0.66875,-0.009868421052631578,0,0.0
22,20,top_writer_neurons,95,-0.6588815789473684,-0.7776315789473685,-0.11875,0,0.0
22,50,random_neurons_0,95,-0.6588815789473684,-0.6555921052631579,0.003289473684210526,1,0.010526315789473684
22,50,random_neurons_1,95,-0.6588815789473684,-0.6532894736842105,0.005592105263157895,1,0.010526315789473684
22,50,random_neurons_2,95,-0.6588815789473684,-0.6322368421052632,0.026644736842105263,3,0.031578947368421054
22,50,top_writer_neurons,95,-0.6588815789473684,-0.8460526315789474,-0.18717105263157896,0,0.0
23,1,random_neurons_0,95,-0.6588815789473684,-0.6763157894736842,-0.017434210526315788,0,0.0
23,1,random_neurons_1,95,-0.6588815789473684,-0.65625,0.002631578947368421,1,0.010526315789473684
23,1,random_neurons_2,95,-0.6588815789473684,-0.6595394736842105,-0.0006578947368421052,1,0.010526315789473684
23,1,top_writer_neurons,95,-0.6588815789473684,-1.3773026315789474,-0.718421052631579,0,0.0
23,5,random_neurons_0,95,-0.6588815789473684,-0.6592105263157895,-0.0003289473684210526,0,0.0
23,5,random_neurons_1,95,-0.6588815789473684,-0.6523026315789474,0.006578947368421052,1,0.010526315789473684
23,5,random_neurons_2,95,-0.6588815789473684,-0.6578947368421053,0.000986842105263158,1,0.010526315789473684
23,5,top_writer_neurons,95,-0.6588815789473684,-0.3904605263157895,0.26842105263157895,13,0.1368421052631579
23,10,random_neurons_0,95,-0.6588815789473684,-0.6513157894736842,0.007565789473684211,1,0.010526315789473684
23,10,random_neurons_1,95,-0.6588815789473684,-0.6605263157894737,-0.001644736842105263,1,0.010526315789473684
23,10,random_neurons_2,95,-0.6588815789473684,-0.6519736842105263,0.006907894736842105,1,0.010526315789473684
23,10,top_writer_neurons,95,-0.6588815789473684,-0.45263157894736844,0.20625,7,0.07368421052631578
23,20,random_neurons_0,95,-0.6588815789473684,-0.6592105263157895,-0.0003289473684210526,1,0.010526315789473684
23,20,random_neurons_1,95,-0.6588815789473684,-0.6611842105263158,-0.002302631578947368,0,0.0
23,20,random_neurons_2,95,-0.6588815789473684,-0.656578947368421,0.002302631578947368,1,0.010526315789473684
23,20,top_writer_neurons,95,-0.6588815789473684,-0.5337171052631579,0.12516447368421052,5,0.05263157894736842
23,50,random_neurons_0,95,-0.6588815789473684,-0.662828947368421,-0.003947368421052632,0,0.0
23,50,random_neurons_1,95,-0.6588815789473684,-0.6730263157894737,-0.014144736842105264,0,0.0
23,50,random_neurons_2,95,-0.6588815789473684,-0.6519736842105263,0.006907894736842105,2,0.021052631578947368
23,50,top_writer_neurons,95,-0.6588815789473684,-0.7684210526315789,-0.10953947368421052,0,0.0
