selection_name,layer,k,alpha,control_type,intervention,n,normal_margin_mean,patched_margin_mean,delta_toward_no_mean,delta_toward_no_median,yes_to_no_flips,yes_to_no_flip_rate,patched_no_count,patched_no_rate,normal_yes_rate,num_layers_patched,num_neurons_patched
layerwise_ci_top_delta_steer,23,200,0.5,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7858552631578948,-0.020723684210526314,-0.03125,0,0.0,0,0.0,1.0,1,200
global_multilayer_ci_top_delta_steer,multi,10,2.0,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7861842105263158,-0.021052631578947368,-0.03125,0,0.0,0,0.0,1.0,4,10
layerwise_ci_top_delta_steer,27,1,1.0,ci_top_neurons,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7861842105263158,-0.021052631578947368,-0.03125,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top_delta_steer,22,20,3.0,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7865131578947369,-0.02138157894736842,-0.03125,0,0.0,0,0.0,1.0,1,20
layerwise_ci_top_delta_steer,27,100,3.0,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7865131578947369,-0.02138157894736842,-0.03125,0,0.0,0,0.0,1.0,1,100
global_multilayer_ci_top_delta_steer,multi,100,0.25,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7868421052631579,-0.021710526315789475,-0.03125,0,0.0,0,0.0,1.0,5,100
global_multilayer_ci_top_delta_steer,multi,100,2.0,random_neurons_1,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7875,-0.02236842105263158,-0.03125,0,0.0,0,0.0,1.0,5,100
layerwise_ci_top_delta_steer,27,100,1.0,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7875,-0.02236842105263158,-0.03125,0,0.0,0,0.0,1.0,1,100
layerwise_ci_top_delta_steer,22,200,1.5,random_neurons_0,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7881578947368421,-0.023026315789473683,-0.03125,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top_delta_steer,22,500,1.5,random_neurons_2,add_CI_D_minus_A_neuron_delta,95,0.7651315789473684,0.7888157894736842,-0.02368421052631579,-0.03125,0,0.0,0,0.0,1.0,1,500
