experiment,layer,alpha,control_type,n,normal_margin_mean,intervened_margin_mean,delta_margin_mean,delta_toward_yes_mean,delta_toward_no_mean,no_to_yes_flips,no_to_yes_flip_rate,yes_to_no_flips,yes_to_no_flip_rate
A_add_direction,22,0.25,real_direction,95,13.41233552631579,9.526809210526316,-3.8855263157894737,-3.8855263157894737,3.8855263157894737,0,0.0,0,0.0
A_add_direction,22,0.5,random_direction_0,95,13.41233552631579,13.56875,0.15641447368421052,0.15641447368421052,-0.15641447368421052,0,0.0,0,0.0
A_add_direction,22,0.5,random_direction_1,95,13.41233552631579,12.650986842105263,-0.7613486842105263,-0.7613486842105263,0.7613486842105263,0,0.0,0,0.0
A_add_direction,22,0.5,random_direction_2,95,13.41233552631579,14.00625,0.5939144736842106,0.5939144736842106,-0.5939144736842106,0,0.0,0,0.0
A_add_direction,22,0.5,real_direction,95,13.41233552631579,5.767763157894737,-7.644572368421053,-7.644572368421053,7.644572368421053,0,0.0,2,0.021052631578947368
A_add_direction,22,1.0,random_direction_0,95,13.41233552631579,13.449013157894736,0.03667763157894737,0.03667763157894737,-0.03667763157894737,0,0.0,0,0.0
A_add_direction,22,1.0,random_direction_1,95,13.41233552631579,11.647697368421053,-1.7646381578947368,-1.7646381578947368,1.7646381578947368,0,0.0,0,0.0
A_add_direction,22,1.0,random_direction_2,95,13.41233552631579,14.454605263157895,1.0422697368421052,1.0422697368421052,-1.0422697368421052,0,0.0,0,0.0
A_add_direction,22,1.0,real_direction,95,13.41233552631579,0.16052631578947368,-13.251809210526316,-13.251809210526316,13.251809210526316,0,0.0,37,0.3894736842105263
A_add_direction,22,1.5,random_direction_0,95,13.41233552631579,12.965625,-0.44671052631578945,-0.44671052631578945,0.44671052631578945,0,0.0,0,0.0
A_add_direction,22,1.5,random_direction_1,95,13.41233552631579,10.563815789473685,-2.848519736842105,-2.848519736842105,2.848519736842105,0,0.0,0,0.0
A_add_direction,22,1.5,random_direction_2,95,13.41233552631579,14.682072368421053,1.269736842105263,1.269736842105263,-1.269736842105263,0,0.0,0,0.0
A_add_direction,22,1.5,real_direction,95,13.41233552631579,-2.6633223684210527,-16.075657894736842,-16.075657894736842,16.075657894736842,0,0.0,95,1.0
A_add_direction,23,0.25,random_direction_0,95,13.41233552631579,13.482401315789474,0.0700657894736842,0.0700657894736842,-0.0700657894736842,0,0.0,0,0.0
A_add_direction,23,0.25,random_direction_1,95,13.41233552631579,13.439144736842104,0.02680921052631579,0.02680921052631579,-0.02680921052631579,0,0.0,0,0.0
A_add_direction,23,0.25,random_direction_2,95,13.41233552631579,13.688980263157895,0.2766447368421053,0.2766447368421053,-0.2766447368421053,0,0.0,0,0.0
A_add_direction,23,0.25,real_direction,95,13.41233552631579,9.201973684210527,-4.2103618421052635,-4.2103618421052635,4.2103618421052635,0,0.0,0,0.0
A_add_direction,23,0.5,random_direction_0,95,13.41233552631579,13.552467105263158,0.1401315789473684,0.1401315789473684,-0.1401315789473684,0,0.0,0,0.0
A_add_direction,23,0.5,random_direction_1,95,13.41233552631579,13.391776315789473,-0.02055921052631579,-0.02055921052631579,0.02055921052631579,0,0.0,0,0.0
A_add_direction,23,0.5,random_direction_2,95,13.41233552631579,13.95641447368421,0.5440789473684211,0.5440789473684211,-0.5440789473684211,0,0.0,0,0.0
A_add_direction,23,0.5,real_direction,95,13.41233552631579,5.433881578947369,-7.978453947368421,-7.978453947368421,7.978453947368421,0,0.0,2,0.021052631578947368
A_add_direction,23,1.0,random_direction_0,95,13.41233552631579,13.593256578947368,0.18092105263157895,0.18092105263157895,-0.18092105263157895,0,0.0,0,0.0
A_add_direction,23,1.0,random_direction_1,95,13.41233552631579,13.043256578947368,-0.36907894736842106,-0.36907894736842106,0.36907894736842106,0,0.0,0,0.0
A_add_direction,23,1.0,random_direction_2,95,13.41233552631579,14.413980263157894,1.0016447368421053,1.0016447368421053,-1.0016447368421053,0,0.0,0,0.0
A_add_direction,23,1.0,real_direction,95,13.41233552631579,-0.06315789473684211,-13.475493421052631,-13.475493421052631,13.475493421052631,0,0.0,44,0.4631578947368421
A_add_direction,23,1.5,random_direction_0,95,13.41233552631579,13.501151315789473,0.08881578947368421,0.08881578947368421,-0.08881578947368421,0,0.0,0,0.0
A_add_direction,23,1.5,random_direction_1,95,13.41233552631579,12.434375,-0.9779605263157894,-0.9779605263157894,0.9779605263157894,0,0.0,0,0.0
A_add_direction,23,1.5,random_direction_2,95,13.41233552631579,14.70921052631579,1.296875,1.296875,-1.296875,0,0.0,0,0.0
A_add_direction,23,1.5,real_direction,95,13.41233552631579,-3.3457236842105265,-16.758059210526316,-16.758059210526316,16.758059210526316,0,0.0,95,1.0
A_add_direction,24,0.25,random_direction_0,95,13.41233552631579,13.837335526315789,0.425,0.425,-0.425,0,0.0,0,0.0
A_add_direction,24,0.25,random_direction_1,95,13.41233552631579,12.661842105263158,-0.7504934210526316,-0.7504934210526316,0.7504934210526316,0,0.0,0,0.0
A_add_direction,24,0.25,random_direction_2,95,13.41233552631579,13.398355263157894,-0.013980263157894737,-0.013980263157894737,0.013980263157894737,0,0.0,0,0.0
A_add_direction,24,0.25,real_direction,95,13.41233552631579,9.305427631578947,-4.1069078947368425,-4.1069078947368425,4.1069078947368425,0,0.0,0,0.0
A_add_direction,24,0.5,random_direction_0,95,13.41233552631579,14.152302631578948,0.7399671052631579,0.7399671052631579,-0.7399671052631579,0,0.0,0,0.0
A_add_direction,24,0.5,random_direction_1,95,13.41233552631579,11.823355263157895,-1.5889802631578946,-1.5889802631578946,1.5889802631578946,0,0.0,0,0.0
A_add_direction,24,0.5,random_direction_2,95,13.41233552631579,13.258059210526316,-0.15427631578947368,-0.15427631578947368,0.15427631578947368,0,0.0,0,0.0
A_add_direction,24,0.5,real_direction,95,13.41233552631579,5.567105263157894,-7.8452302631578945,-7.8452302631578945,7.8452302631578945,0,0.0,3,0.031578947368421054
A_add_direction,24,1.0,random_direction_0,95,13.41233552631579,14.598519736842105,1.1861842105263158,1.1861842105263158,-1.1861842105263158,0,0.0,0,0.0
A_add_direction,24,1.0,random_direction_1,95,13.41233552631579,10.092105263157896,-3.3202302631578946,-3.3202302631578946,3.3202302631578946,0,0.0,0,0.0
A_add_direction,24,1.0,random_direction_2,95,13.41233552631579,12.68157894736842,-0.7307565789473685,-0.7307565789473685,0.7307565789473685,0,0.0,0,0.0
A_add_direction,24,1.0,real_direction,95,13.41233552631579,-0.08322368421052631,-13.495559210526316,-13.495559210526316,13.495559210526316,0,0.0,50,0.5263157894736842
A_add_direction,24,1.5,random_direction_0,95,13.41233552631579,15.063815789473685,1.6514802631578946,1.6514802631578946,-1.6514802631578946,0,0.0,0,0.0
A_add_direction,24,1.5,random_direction_1,95,13.41233552631579,8.601151315789474,-4.811184210526315,-4.811184210526315,4.811184210526315,0,0.0,0,0.0
A_add_direction,24,1.5,random_direction_2,95,13.41233552631579,11.859868421052632,-1.5524671052631578,-1.5524671052631578,1.5524671052631578,0,0.0,0,0.0
A_add_direction,24,1.5,real_direction,95,13.41233552631579,-3.435032894736842,-16.847368421052632,-16.847368421052632,16.847368421052632,0,0.0,95,1.0
A_add_direction,25,0.25,random_direction_0,95,13.41233552631579,13.711677631578947,0.2993421052631579,0.2993421052631579,-0.2993421052631579,0,0.0,0,0.0
A_add_direction,25,0.25,random_direction_1,95,13.41233552631579,13.425657894736842,0.013322368421052631,0.013322368421052631,-0.013322368421052631,0,0.0,0,0.0
A_add_direction,25,0.25,random_direction_2,95,13.41233552631579,13.553618421052631,0.1412828947368421,0.1412828947368421,-0.1412828947368421,0,0.0,0,0.0
A_add_direction,25,0.25,real_direction,95,13.41233552631579,9.308881578947368,-4.103453947368421,-4.103453947368421,4.103453947368421,0,0.0,0,0.0
A_add_direction,25,0.5,random_direction_0,95,13.41233552631579,13.92796052631579,0.515625,0.515625,-0.515625,0,0.0,0,0.0
A_add_direction,25,0.5,random_direction_1,95,13.41233552631579,13.36266447368421,-0.04967105263157895,-0.04967105263157895,0.04967105263157895,0,0.0,0,0.0
A_add_direction,25,0.5,random_direction_2,95,13.41233552631579,13.649342105263157,0.23700657894736843,0.23700657894736843,-0.23700657894736843,0,0.0,0,0.0
A_add_direction,25,0.5,real_direction,95,13.41233552631579,5.5141447368421055,-7.898190789473684,-7.898190789473684,7.898190789473684,0,0.0,4,0.042105263157894736
A_add_direction,25,1.0,random_direction_0,95,13.41233552631579,14.102631578947369,0.6902960526315789,0.6902960526315789,-0.6902960526315789,0,0.0,0,0.0
A_add_direction,25,1.0,random_direction_1,95,13.41233552631579,13.041447368421053,-0.37088815789473684,-0.37088815789473684,0.37088815789473684,0,0.0,0,0.0
A_add_direction,25,1.0,random_direction_2,95,13.41233552631579,13.685855263157896,0.2735197368421053,0.2735197368421053,-0.2735197368421053,0,0.0,0,0.0
