scenario_id,version,site,layer,cosine_base_ci,base_norm,ci_norm,norm_ratio_ci_over_base
103047,D,purpose_last,24,0.9996645450592041,272.1575622558594,270.1573181152344,0.992650418661729
103047,D,purpose_last,25,0.9995782375335693,313.67926025390625,311.81280517578125,0.9940497976289085
103047,D,purpose_last,26,0.9990246891975403,414.4438171386719,412.09381103515625,0.9943297354036065
103047,D,purpose_last,27,0.9978410005569458,261.1180419921875,261.2566223144531,1.0005307190618018
103047,D,final,0,0.9999861121177673,10.386619567871094,10.38707447052002,1.0000437969876488
103047,D,final,1,0.9988188743591309,15.139269828796387,15.235245704650879,1.0063395313604846
103047,D,final,2,0.9989126324653625,17.910371780395508,17.852336883544922,0.9967597045129957
103047,D,final,3,0.9983461499214172,18.770809173583984,18.784624099731445,1.0007359792547943
103047,D,final,4,0.9978720545768738,22.361507415771484,22.415325164794922,1.002406713824019
103047,D,final,5,0.9981904029846191,31.616641998291016,31.926416397094727,1.0097978273220938
103047,D,final,6,0.998234748840332,31.846452713012695,31.95514678955078,1.00341306699109
103047,D,final,7,0.9979460835456848,33.21043014526367,33.32335662841797,1.0034003318433502
103047,D,final,8,0.9973486065864563,33.94705581665039,34.0200309753418,1.002149675632713
103047,D,final,9,0.9958451390266418,38.7395133972168,38.561744689941406,0.9954111786213566
103047,D,final,10,0.9947022795677185,42.14777374267578,42.51127624511719,1.008624476933484
103047,D,final,11,0.9938583374023438,43.91986846923828,44.86975860595703,1.0216278001238563
103047,D,final,12,0.9946187734603882,47.779197692871094,47.64384841918945,0.9971671924139104
103047,D,final,13,0.9947634935379028,55.744014739990234,55.599029541015625,0.9973990893972946
103047,D,final,14,0.9962447881698608,70.7666015625,71.08109283447266,1.0044440635134202
103047,D,final,15,0.996116042137146,68.67133331298828,68.8959732055664,1.0032712324304855
103047,D,final,16,0.9963642358779907,70.86412811279297,70.86259460449219,0.9999783598790867
103047,D,final,17,0.9969826340675354,77.32554626464844,77.272216796875,0.9993103253665883
