contrast,site,layer,n,mean_direction_cosine,median_direction_cosine,std_direction_cosine,mean_base_direction_norm,mean_ci_direction_norm,mean_direction_norm_ratio
AB_B_minus_A,final,26,49,0.9731885620525905,0.9823340177536011,0.02231390869073137,94.81538562385403,94.02424964126276,0.9793608259487201
AB_B_minus_A,final,27,49,0.9753763614868631,0.9828218221664429,0.021504636063446523,88.23368913300183,85.934796858807,0.9591376385708069
AB_B_minus_A,purpose_last,0,49,0.9999442331644953,0.9999525547027588,3.860306375856983e-05,1.46230129928005,1.460831272358797,0.9989109102945241
AB_B_minus_A,purpose_last,1,49,0.9998415769362936,0.9998528361320496,7.225838644802534e-05,1.743223061366957,1.7426044721992648,0.9994619560712388
AB_B_minus_A,purpose_last,2,49,0.9997306417445747,0.9997714757919312,0.00012668568791935993,2.1717629651634063,2.1756433394490458,1.0016557347527295
AB_B_minus_A,purpose_last,3,49,0.9996030294165319,0.9996544122695923,0.00017316917496995664,2.702140506432981,2.713325558876505,1.0039456242467928
AB_B_minus_A,purpose_last,4,49,0.9996228838453487,0.9996442794799805,0.00016486174159163628,3.699937256015077,3.721195551813865,1.0055239196068662
AB_B_minus_A,purpose_last,5,49,0.9996722887973396,0.9996872544288635,0.0001258088180661517,4.6973554455504125,4.71905889316481,1.0044530592620735
AB_B_minus_A,purpose_last,6,49,0.999649317897096,0.9996552467346191,0.00011581949823467916,5.96002552460651,5.97782579733401,1.0030836993093555
AB_B_minus_A,purpose_last,7,49,0.9996546543374354,0.9996596574783325,8.706775510457251e-05,7.32338825537234,7.328438739387357,1.0007413698378211
AB_B_minus_A,purpose_last,8,49,0.999665652002607,0.9996800422668457,9.095676360487206e-05,9.917844830727091,9.906214402646434,0.9987358248247087
AB_B_minus_A,purpose_last,9,49,0.999627910098251,0.9996359944343567,0.0001792627060508947,12.07130967354288,12.047566073281425,0.9979356707152406
AB_B_minus_A,purpose_last,10,49,0.9995610884257725,0.9996071457862854,0.00020224305937262133,12.068383518530398,12.030481348232348,0.9967861506988083
AB_B_minus_A,purpose_last,11,49,0.9995129351713219,0.9995516538619995,0.00020923816806761922,14.386743370367556,14.310964195095764,0.9944568624844045
AB_B_minus_A,purpose_last,12,49,0.9994222144691312,0.9994936585426331,0.00023216760711745996,15.759448440707459,15.658922117583606,0.9934283894210323
AB_B_minus_A,purpose_last,13,49,0.9992472261798625,0.9992738366127014,0.0001815765196576569,19.3684836407097,19.146517967691228,0.9882768609022916
AB_B_minus_A,purpose_last,14,49,0.9991092913004817,0.9991369247436523,0.00019149123731415865,20.36595545009691,20.117609744169275,0.9876874791413526
AB_B_minus_A,purpose_last,15,49,0.999020400095959,0.9990661144256592,0.00022110457094807543,22.7545470607524,22.49570504013373,0.9885073143872702
AB_B_minus_A,purpose_last,16,49,0.9988857288749851,0.9988638758659363,0.0002403648487828525,24.78690122098339,24.562471019978425,0.9905294641602428
AB_B_minus_A,purpose_last,17,49,0.9987306339400155,0.9988540410995483,0.0003061576657004955,27.40675906745755,27.155604226248606,0.990585245765575
AB_B_minus_A,purpose_last,18,49,0.9986392989450571,0.9987158179283142,0.0003338382273039146,28.032203012583206,27.78753677679568,0.9911533926160384
AB_B_minus_A,purpose_last,19,49,0.9984806970674165,0.9985892176628113,0.00038612452110393697,29.4796078740334,29.21734093646614,0.9911531625302209
AB_B_minus_A,purpose_last,20,49,0.9983743271049188,0.9985117316246033,0.0003771847652594802,33.35854250071,33.08685353337502,0.9919385501016376
AB_B_minus_A,purpose_last,21,49,0.9982571528882397,0.9982767701148987,0.00039818374237568337,40.52917025040607,40.25709973549356,0.9935620919291759
AB_B_minus_A,purpose_last,22,49,0.9981521830266836,0.9982392191886902,0.0004453952587832519,47.55387465807856,47.28268724558305,0.9946321113839551
AB_B_minus_A,purpose_last,23,49,0.9979917625991666,0.9980597496032715,0.0004839918095478247,54.84044296887456,54.54802322387695,0.9951088898282591
AB_B_minus_A,purpose_last,24,49,0.9977567658132437,0.9978072643280029,0.0005723568669855071,65.58082712913045,65.27160348697585,0.9956377339627172
AB_B_minus_A,purpose_last,25,49,0.9974817256538235,0.9975124597549438,0.0006812632214845021,78.56681582392478,78.33588627406529,0.9972624883445278
AB_B_minus_A,purpose_last,26,49,0.9968158030996517,0.9969758987426758,0.0008028895063366054,95.3003044128418,95.01115277348732,0.9971293306156056
AB_B_minus_A,purpose_last,27,49,0.9965537482378434,0.9969117641448975,0.0011220637270478917,86.05991674929248,87.30157135943978,1.015504886274908
AB_B_minus_A,recipient_last,0,49,0.999996580639664,0.9999966025352478,5.905190464952729e-07,14.994259775901327,14.989030448757873,0.9996520579623697
AB_B_minus_A,recipient_last,1,49,0.9999939896622483,0.9999951124191284,3.3864091635776085e-06,26.174373120677714,26.15819701369928,0.9993919366325018
AB_B_minus_A,recipient_last,2,49,0.999988566855995,0.9999886155128479,4.125974725337674e-06,32.91062284975636,32.91685750533124,1.0001769938374971
AB_B_minus_A,recipient_last,3,49,0.9999830211911883,0.9999827742576599,4.215861286405356e-06,38.07960771054638,38.11987460389429,1.0010367044961166
AB_B_minus_A,recipient_last,4,49,0.999977628795468,0.9999788999557495,5.889678231461876e-06,42.251748454814056,42.292129905856385,1.000939432252534
AB_B_minus_A,recipient_last,5,49,0.9999706708655065,0.999972939491272,7.770993976553936e-06,44.03844015938895,44.07652391706194,1.0008858591998664
AB_B_minus_A,recipient_last,6,49,0.9999481622053652,0.999951958656311,1.086972183032578e-05,47.84736251831055,47.85666835551359,1.000196790684709
AB_B_minus_A,recipient_last,7,49,0.9999448450244203,0.9999454021453857,1.0380114740083839e-05,53.35286183259925,53.37743105207171,1.000450359597061
AB_B_minus_A,recipient_last,8,49,0.999927535349009,0.9999291300773621,1.4409571991196626e-05,56.69681074181381,56.686143602643696,0.9998018380187831
AB_B_minus_A,recipient_last,9,49,0.9999085786391277,0.9999088644981384,1.7479614585821487e-05,53.5962694907675,53.55434682417889,0.9992103684045135
AB_B_minus_A,recipient_last,10,49,0.999891826084682,0.9998922348022461,1.8895216881585138e-05,54.00257406429369,53.939193024927256,0.9988393631092777
AB_B_minus_A,recipient_last,11,49,0.9998627073910772,0.9998608827590942,2.8499113418791522e-05,55.79949593057438,55.74216328835001,0.9989654276138058
AB_B_minus_A,recipient_last,12,49,0.9998324330972166,0.999836266040802,3.66410680097037e-05,58.62988507017798,58.54801722935268,0.9986170039278381
AB_B_minus_A,recipient_last,13,49,0.9997919262671957,0.9998015761375427,3.888856170202747e-05,60.31127766200474,60.18803818371831,0.9979693481051192
AB_B_minus_A,recipient_last,14,49,0.9997576171038102,0.9997758269309998,5.025416133583271e-05,61.647289587526906,61.4948176169882,0.9975658600377331
AB_B_minus_A,recipient_last,15,49,0.9997125523430961,0.9997260570526123,7.35876693005936e-05,63.754143228336254,63.55218622635822,0.9969042302859209
AB_B_minus_A,recipient_last,16,49,0.9996639295500152,0.9996787905693054,9.152435082021568e-05,64.95104334305744,64.71869628283443,0.9965178964927912
AB_B_minus_A,recipient_last,17,49,0.9995748461509237,0.9995932579040527,0.0001299145004768503,67.85283590822803,67.5893690926688,0.9962481332518136
AB_B_minus_A,recipient_last,18,49,0.9995626101688463,0.9995825886726379,0.00013899503296662636,70.34389246726522,70.05455040445133,0.9960336161898804
AB_B_minus_A,recipient_last,19,49,0.9994981386223618,0.999528169631958,0.00017560614895918185,73.30135929341219,72.94815281459263,0.9953211443719732
AB_B_minus_A,recipient_last,20,49,0.9994579285991435,0.9994827508926392,0.0001889542229674668,84.36042318538743,83.99975866200973,0.9958541710412651
AB_B_minus_A,recipient_last,21,49,0.9993915886295085,0.9994513392448425,0.00022436033232941317,97.35742389912508,96.91234432921118,0.9955485806382933
AB_B_minus_A,recipient_last,22,49,0.9992646343854009,0.9993141293525696,0.00026810864295256947,111.57098232969946,111.05910351811623,0.9955732896551148
AB_B_minus_A,recipient_last,23,49,0.9992429893843982,0.9992696046829224,0.00026466438067549467,136.47974504743303,135.92165779580876,0.9960441496271055
AB_B_minus_A,recipient_last,24,49,0.9990054879869733,0.9990202188491821,0.0003380209026976017,153.06965029969507,152.51533586151746,0.9964895594562435
AB_B_minus_A,recipient_last,25,49,0.9986912133742352,0.9986525774002075,0.0004228176234622326,173.61450818120215,173.1188148965641,0.9972739788701575
AB_B_minus_A,recipient_last,26,49,0.9978479730839632,0.9980157613754272,0.0008866429548172411,201.31626985511002,200.88277762276786,0.99799612881968
AB_B_minus_A,recipient_last,27,49,0.9967898933254943,0.9973191618919373,0.001602822616865225,189.66139112200057,192.68447891546757,1.0170735692488428
AC_C_minus_A,final,0,87,0.9986224058030666,0.9986774921417236,0.0008624432683692014,0.16920851744797039,0.1684945314780049,0.9957983802442216
AC_C_minus_A,final,1,87,0.9925686134689156,0.9928315877914429,0.0023215787067206116,0.26203111944527463,0.2636113776557747,1.0056116368446237
AC_C_minus_A,final,2,87,0.9923581248042227,0.9920968413352966,0.0020815966054271535,0.38765501753352155,0.38302942014288627,0.9882505639498452
AC_C_minus_A,final,3,87,0.9886436667935602,0.9881839156150818,0.0026675349652764725,0.4627657375116458,0.46376647483343364,1.000837487569686
AC_C_minus_A,final,4,87,0.9834069328746576,0.9828238487243652,0.0033444705052304196,0.5575273379512217,0.566702262080949,1.015625900272402
AC_C_minus_A,final,5,87,0.9783280738468828,0.9786556959152222,0.0056417887314543546,0.6361532519603598,0.6477426814621893,1.0169699177996165
