selection_name,layer,k,alpha,intervention,random_delta_toward_no_mean,random_yes_to_no_flip_rate_mean,random_patched_no_rate_mean
global_multilayer_ci_top_delta_steer,multi,200,0.25,add_CI_D_minus_A_neuron_delta,0.005701754385964913,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,200,0.5,add_CI_D_minus_A_neuron_delta,0.01524122807017544,0.0,0.0
global_multilayer_ci_top_delta_steer,multi,200,1.0,add_CI_D_minus_A_neuron_delta,0.03508771929824561,0.007017543859649123,0.007017543859649123
global_multilayer_ci_top_delta_steer,multi,200,1.5,add_CI_D_minus_A_neuron_delta,0.052850877192982454,0.010526315789473684,0.010526315789473684
global_multilayer_ci_top_delta_steer,multi,200,2.0,add_CI_D_minus_A_neuron_delta,0.07280701754385965,0.017543859649122806,0.017543859649122806
global_multilayer_ci_top_delta_steer,multi,200,3.0,add_CI_D_minus_A_neuron_delta,0.11096491228070175,0.0631578947368421,0.0631578947368421
global_multilayer_ci_top_delta_steer,multi,500,0.25,add_CI_D_minus_A_neuron_delta,0.021162280701754386,0.007017543859649123,0.007017543859649123
global_multilayer_ci_top_delta_steer,multi,500,0.5,add_CI_D_minus_A_neuron_delta,0.04451754385964912,0.010526315789473684,0.010526315789473684
global_multilayer_ci_top_delta_steer,multi,500,1.0,add_CI_D_minus_A_neuron_delta,0.09155701754385964,0.0631578947368421,0.0631578947368421
global_multilayer_ci_top_delta_steer,multi,500,1.5,add_CI_D_minus_A_neuron_delta,0.13662280701754384,0.0912280701754386,0.0912280701754386
global_multilayer_ci_top_delta_steer,multi,500,2.0,add_CI_D_minus_A_neuron_delta,0.18278508771929824,0.15087719298245614,0.15087719298245614
global_multilayer_ci_top_delta_steer,multi,500,3.0,add_CI_D_minus_A_neuron_delta,0.27171052631578946,0.2596491228070175,0.2596491228070175
layerwise_ci_top_delta_steer,20,1,0.25,add_CI_D_minus_A_neuron_delta,-0.0036184210526315785,0.0,0.0
layerwise_ci_top_delta_steer,20,1,0.5,add_CI_D_minus_A_neuron_delta,-0.0038377192982456143,0.0,0.0
layerwise_ci_top_delta_steer,20,1,1.0,add_CI_D_minus_A_neuron_delta,-0.002850877192982456,0.0,0.0
layerwise_ci_top_delta_steer,20,1,1.5,add_CI_D_minus_A_neuron_delta,-0.0029605263157894738,0.0,0.0
layerwise_ci_top_delta_steer,20,1,2.0,add_CI_D_minus_A_neuron_delta,-0.0038377192982456143,0.0,0.0
layerwise_ci_top_delta_steer,20,1,3.0,add_CI_D_minus_A_neuron_delta,-0.0036184210526315785,0.0,0.0
layerwise_ci_top_delta_steer,20,5,0.25,add_CI_D_minus_A_neuron_delta,-0.0025219298245614035,0.0,0.0
layerwise_ci_top_delta_steer,20,5,0.5,add_CI_D_minus_A_neuron_delta,-0.003399122807017544,0.0,0.0
layerwise_ci_top_delta_steer,20,5,1.0,add_CI_D_minus_A_neuron_delta,-0.003289473684210526,0.0,0.0
layerwise_ci_top_delta_steer,20,5,1.5,add_CI_D_minus_A_neuron_delta,-0.0042763157894736845,0.0,0.0
layerwise_ci_top_delta_steer,20,5,2.0,add_CI_D_minus_A_neuron_delta,-0.004166666666666667,0.0,0.0
layerwise_ci_top_delta_steer,20,5,3.0,add_CI_D_minus_A_neuron_delta,-0.004714912280701754,0.0,0.0
layerwise_ci_top_delta_steer,20,10,0.25,add_CI_D_minus_A_neuron_delta,-0.0030701754385964917,0.0,0.0
layerwise_ci_top_delta_steer,20,10,0.5,add_CI_D_minus_A_neuron_delta,-0.003289473684210526,0.0,0.0
layerwise_ci_top_delta_steer,20,10,1.0,add_CI_D_minus_A_neuron_delta,-0.0031798245614035087,0.0,0.0
layerwise_ci_top_delta_steer,20,10,1.5,add_CI_D_minus_A_neuron_delta,-0.0027412280701754384,0.0,0.0
layerwise_ci_top_delta_steer,20,10,2.0,add_CI_D_minus_A_neuron_delta,-0.002741228070175439,0.0,0.0
layerwise_ci_top_delta_steer,20,10,3.0,add_CI_D_minus_A_neuron_delta,-0.0013157894736842105,0.0,0.0
layerwise_ci_top_delta_steer,20,20,0.25,add_CI_D_minus_A_neuron_delta,-0.00010964912280701752,0.0,0.0
layerwise_ci_top_delta_steer,20,20,0.5,add_CI_D_minus_A_neuron_delta,0.0009868421052631575,0.0,0.0
