layer,neuron,writer_score,selection_name,control_type,k,random_id
22,8085,8.8244946e-05,L22_random_top100_r0,random_neurons,100,0
22,11932,7.530897e-05,L22_random_top100_r0,random_neurons,100,0
22,18685,5.8002202e-05,L22_random_top100_r0,random_neurons,100,0
22,2842,3.9524133e-05,L22_random_top100_r0,random_neurons,100,0
22,2486,1.2578361e-05,L22_random_top100_r0,random_neurons,100,0
22,8784,1.1031453e-05,L22_random_top100_r0,random_neurons,100,0
22,1190,3.359896e-06,L22_random_top100_r0,random_neurons,100,0
22,11637,-2.285329e-06,L22_random_top100_r0,random_neurons,100,0
22,15059,-1.2021014e-05,L22_random_top100_r0,random_neurons,100,0
22,12562,-5.8407557e-05,L22_random_top100_r0,random_neurons,100,0
22,8190,-6.309539e-05,L22_random_top100_r0,random_neurons,100,0
22,17048,-7.29932e-05,L22_random_top100_r0,random_neurons,100,0
22,2167,-0.00011167263,L22_random_top100_r0,random_neurons,100,0
22,8895,-0.00014351572,L22_random_top100_r0,random_neurons,100,0
22,8095,-0.00014679733,L22_random_top100_r0,random_neurons,100,0
22,4236,-0.00016135674,L22_random_top100_r0,random_neurons,100,0
22,13400,-0.00018057066,L22_random_top100_r0,random_neurons,100,0
22,1399,-0.00026057032,L22_random_top100_r0,random_neurons,100,0
22,8796,-0.0002623166,L22_random_top100_r0,random_neurons,100,0
22,15562,-0.0002663844,L22_random_top100_r0,random_neurons,100,0
22,16590,-0.00036263713,L22_random_top100_r0,random_neurons,100,0
22,8429,-0.00038743165,L22_random_top100_r0,random_neurons,100,0
22,3778,-0.00044904544,L22_random_top100_r0,random_neurons,100,0
22,13236,-0.00046892295,L22_random_top100_r0,random_neurons,100,0
22,4378,-0.0005288605,L22_random_top100_r0,random_neurons,100,0
22,9831,-0.0005564192,L22_random_top100_r0,random_neurons,100,0
22,25,-0.00055933144,L22_random_top100_r0,random_neurons,100,0
22,13616,-0.000582987,L22_random_top100_r0,random_neurons,100,0
22,6322,-0.00059325807,L22_random_top100_r0,random_neurons,100,0
22,12976,-0.0006777117,L22_random_top100_r0,random_neurons,100,0
22,15617,-0.00068460667,L22_random_top100_r0,random_neurons,100,0
22,14770,-0.00070261647,L22_random_top100_r0,random_neurons,100,0
22,1869,-0.0007270813,L22_random_top100_r0,random_neurons,100,0
22,6313,-0.00093870383,L22_random_top100_r0,random_neurons,100,0
22,9714,-0.00094722974,L22_random_top100_r0,random_neurons,100,0
22,8577,-0.0009848656,L22_random_top100_r0,random_neurons,100,0
22,6838,-0.0011880035,L22_random_top100_r0,random_neurons,100,0
22,7299,-0.0012519403,L22_random_top100_r0,random_neurons,100,0
22,12944,-0.0013246617,L22_random_top100_r0,random_neurons,100,0
22,12578,-0.0013409517,L22_random_top100_r0,random_neurons,100,0
22,5580,-0.0015144252,L22_random_top100_r0,random_neurons,100,0
22,17057,-0.0015433601,L22_random_top100_r0,random_neurons,100,0
22,14895,-0.001561108,L22_random_top100_r0,random_neurons,100,0
22,10669,-0.0016199248,L22_random_top100_r0,random_neurons,100,0
22,13562,-0.0016751589,L22_random_top100_r0,random_neurons,100,0
22,16666,-0.0020906127,L22_random_top100_r0,random_neurons,100,0
22,15699,-0.0021298914,L22_random_top100_r0,random_neurons,100,0
22,15702,-0.002162592,L22_random_top100_r0,random_neurons,100,0
22,7109,-0.0022549948,L22_random_top100_r0,random_neurons,100,0
22,1142,-0.0024493614,L22_random_top100_r0,random_neurons,100,0
22,4107,-0.0025351439,L22_random_top100_r0,random_neurons,100,0
22,5244,-0.0025414156,L22_random_top100_r0,random_neurons,100,0
22,16638,-0.0026532516,L22_random_top100_r0,random_neurons,100,0
22,3796,-0.0028225272,L22_random_top100_r0,random_neurons,100,0
22,16642,-0.0030290212,L22_random_top100_r0,random_neurons,100,0
22,16723,-0.0035380595,L22_random_top100_r0,random_neurons,100,0
22,14227,-0.003682852,L22_random_top100_r0,random_neurons,100,0
22,710,-0.0038858554,L22_random_top100_r0,random_neurons,100,0
22,11439,-0.0048859683,L22_random_top100_r0,random_neurons,100,0
22,17182,-0.007969529,L22_random_top100_r0,random_neurons,100,0
22,4250,-0.008062385,L22_random_top100_r0,random_neurons,100,0
