experiment,pair,layer,n,mean_original_margin,mean_patched_margin,mean_effect,mean_destructive_effect,mean_rescue_effect,flip_rate,destroyed_no_rate,rescued_yes_rate,patched_yes_rate,patched_no_rate
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,10,190,-0.7217105263157895,-0.5282894736842105,0.19342105263157894,0.19342105263157894,,0.11578947368421053,0.11578947368421053,0.0,0.12631578947368421,0.8736842105263158
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,11,190,-0.7217105263157895,-0.5014802631578947,0.22023026315789473,0.22023026315789473,,0.15263157894736842,0.15263157894736842,0.0,0.1631578947368421,0.8368421052631579
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,12,190,-0.7217105263157895,-0.49490131578947366,0.22680921052631578,0.22680921052631578,,0.1631578947368421,0.1631578947368421,0.0,0.1736842105263158,0.8263157894736842
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,13,190,-0.7217105263157895,-0.4998355263157895,0.221875,0.221875,,0.15789473684210525,0.15789473684210525,0.0,0.16842105263157894,0.8315789473684211
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,14,190,-0.7217105263157895,-0.5333881578947368,0.18832236842105263,0.18832236842105263,,0.13157894736842105,0.13157894736842105,0.0,0.14210526315789473,0.8578947368421053
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,15,190,-0.7217105263157895,-0.5024671052631579,0.2192434210526316,0.2192434210526316,,0.1631578947368421,0.1631578947368421,0.0,0.1736842105263158,0.8263157894736842
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,16,190,-0.7217105263157895,-0.4789473684210526,0.24276315789473685,0.24276315789473685,,0.17894736842105263,0.17894736842105263,0.0,0.18947368421052632,0.8105263157894737
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,17,190,-0.7217105263157895,-0.4587171052631579,0.26299342105263157,0.26299342105263157,,0.17894736842105263,0.17894736842105263,0.0,0.18947368421052632,0.8105263157894737
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,18,190,-0.7217105263157895,0.2901315789473684,1.0118421052631579,1.0118421052631579,,0.7315789473684211,0.7315789473684211,0.0,0.7421052631578947,0.2578947368421053
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,19,190,-0.7217105263157895,0.5730263157894737,1.2947368421052632,1.2947368421052632,,0.8894736842105263,0.8894736842105263,0.0,0.9,0.1
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,20,190,-0.7217105263157895,0.6988486842105263,1.4205592105263158,1.4205592105263158,,0.9789473684210527,0.9789473684210527,0.0,0.9894736842105263,0.010526315789473684
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,21,190,-0.7217105263157895,0.6932565789473685,1.4149671052631578,1.4149671052631578,,0.9842105263157894,0.9842105263157894,0.0,0.9947368421052631,0.005263157894736842
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,22,190,-0.7217105263157895,0.6950657894736842,1.4167763157894737,1.4167763157894737,,0.9842105263157894,0.9842105263157894,0.0,0.9947368421052631,0.005263157894736842
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,23,190,-0.7217105263157895,0.7154605263157895,1.4371710526315788,1.4371710526315788,,0.9789473684210527,0.9789473684210527,0.0,0.9894736842105263,0.010526315789473684
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,24,190,-0.7217105263157895,0.7182565789473684,1.439967105263158,1.439967105263158,,0.9842105263157894,0.9842105263157894,0.0,0.9947368421052631,0.005263157894736842
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,25,190,-0.7217105263157895,0.7444078947368421,1.4661184210526317,1.4661184210526317,,0.9842105263157894,0.9842105263157894,0.0,0.9947368421052631,0.005263157894736842
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,26,190,-0.7217105263157895,0.7444078947368421,1.4661184210526317,1.4661184210526317,,0.9894736842105263,0.9894736842105263,0.0,1.0,0.0
baseD_final_to_ciD_final_destructive,base_to_ci_same_D,27,190,-0.7217105263157895,-1.1398848684210525,-0.41817434210526316,-0.41817434210526316,,0.031578947368421054,0.021052631578947368,0.0,0.021052631578947368,0.9789473684210527
