model,model_short,patch_family,experiment,layer,n,mean_patch_effect,median_patch_effect,mean_aligned_effect,median_aligned_effect,mean_abs_effect,flip_rate
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,18,190,-0.05287828947368421,-0.046875,0.05287828947368421,0.046875,0.07458881578947368,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,19,190,-0.030098684210526316,-0.03125,0.030098684210526316,0.03125,0.04736842105263158,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,20,190,-0.006578947368421052,0.0,0.006578947368421052,-0.0,0.023355263157894737,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,21,190,-0.008388157894736842,0.0,0.008388157894736842,-0.0,0.019407894736842107,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,22,190,-0.00962171052631579,-0.015625,0.00962171052631579,0.015625,0.017023026315789475,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,23,190,-0.01118421052631579,-0.015625,0.01118421052631579,0.015625,0.017105263157894738,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,24,190,-0.006167763157894737,0.0,0.006167763157894737,-0.0,0.011759868421052632,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,25,190,-0.004605263157894736,0.0,0.004605263157894736,-0.0,0.009210526315789473,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,26,190,-0.001151315789473684,0.0,0.001151315789473684,-0.0,0.006907894736842105,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_last_AD,both_last_AD_D_to_A,27,190,0.0,0.0,0.0,-0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,0,190,0.001151315789473684,0.0,0.001151315789473684,0.0,0.01069078947368421,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,1,190,0.003947368421052632,0.0,0.003947368421052632,0.0,0.010855263157894738,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,2,190,0.0034539473684210525,0.0,0.0034539473684210525,0.0,0.012664473684210526,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,3,190,0.0060855263157894735,0.0,0.0060855263157894735,0.0,0.01200657894736842,0.010526315789473684
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,4,190,0.004934210526315789,0.0,0.004934210526315789,0.0,0.014802631578947368,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,5,190,0.009210526315789473,0.0,0.009210526315789473,0.0,0.017105263157894738,0.010526315789473684
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,6,190,0.005756578947368421,0.0,0.005756578947368421,0.0,0.015953947368421054,0.010526315789473684
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,7,190,0.010197368421052632,0.0,0.010197368421052632,0.0,0.022039473684210525,0.005263157894736842
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,final_AD,final_AD_A_to_D,8,190,0.012828947368421053,0.0,0.012828947368421053,0.0,0.024342105263157894,0.010526315789473684
