model,model_short,patch_family,experiment,layer,n,mean_patch_effect,median_patch_effect,mean_aligned_effect,median_aligned_effect,mean_abs_effect,flip_rate
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,20,85,-0.007904411764705882,0.0,0.007904411764705882,-0.0,0.036948529411764706,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,21,85,-0.004595588235294118,0.0,0.004595588235294118,-0.0,0.02738970588235294,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,22,85,-0.001838235294117647,0.0,0.001838235294117647,-0.0,0.021691176470588235,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,23,85,-0.007904411764705882,0.0,0.007904411764705882,-0.0,0.021139705882352942,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,24,85,-0.0034926470588235296,0.0,0.0034926470588235296,-0.0,0.01709558823529412,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,25,85,-0.005698529411764706,0.0,0.005698529411764706,-0.0,0.015992647058823528,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,26,85,-0.003125,0.0,0.003125,-0.0,0.009375,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,both_span_AD,both_span_AD_D_to_A,27,85,0.0,0.0,0.0,-0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,0,65,11.355288461538462,12.0625,11.355288461538462,12.0625,11.355288461538462,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,1,65,11.322836538461539,12.09375,11.322836538461539,12.09375,11.322836538461539,0.03076923076923077
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,purpose_span_AC,purpose_span_AC_A_to_C,2,65,11.337740384615385,12.109375,11.337740384615385,12.109375,11.337740384615385,0.03076923076923077
