layer,k,control_type,n,normal_margin_mean,intervened_margin_mean,delta_toward_yes_mean,no_to_yes_flips,no_to_yes_flip_rate
21,200,random_neurons_2,95,-0.6588815789473684,-0.6838815789473685,-0.025,0,0.0
21,200,top_writer_neurons,95,-0.6588815789473684,1.492763157894737,2.151644736842105,92,0.968421052631579
22,1,random_neurons_0,95,-0.6588815789473684,-0.6549342105263158,0.003947368421052632,1,0.010526315789473684
22,1,random_neurons_1,95,-0.6588815789473684,-0.65625,0.002631578947368421,1,0.010526315789473684
22,1,random_neurons_2,95,-0.6588815789473684,-0.65625,0.002631578947368421,1,0.010526315789473684
22,1,top_writer_neurons,95,-0.6588815789473684,2.051480263157895,2.710361842105263,95,1.0
22,5,random_neurons_0,95,-0.6588815789473684,-0.6572368421052631,0.001644736842105263,1,0.010526315789473684
22,5,random_neurons_1,95,-0.6588815789473684,-0.655921052631579,0.0029605263157894738,1,0.010526315789473684
22,5,random_neurons_2,95,-0.6588815789473684,-0.6539473684210526,0.004934210526315789,1,0.010526315789473684
22,5,top_writer_neurons,95,-0.6588815789473684,2.3190789473684212,2.9779605263157896,95,1.0
22,10,random_neurons_0,95,-0.6588815789473684,-0.6532894736842105,0.005592105263157895,1,0.010526315789473684
22,10,random_neurons_1,95,-0.6588815789473684,-0.6621710526315789,-0.003289473684210526,0,0.0
22,10,random_neurons_2,95,-0.6588815789473684,-0.6578947368421053,0.000986842105263158,1,0.010526315789473684
22,10,top_writer_neurons,95,-0.6588815789473684,2.35,3.0088815789473684,95,1.0
22,20,random_neurons_0,95,-0.6588815789473684,-0.6585526315789474,0.0003289473684210526,1,0.010526315789473684
22,20,random_neurons_1,95,-0.6588815789473684,-0.6601973684210526,-0.0013157894736842105,0,0.0
22,20,random_neurons_2,95,-0.6588815789473684,-0.6569078947368421,0.001973684210526316,1,0.010526315789473684
22,20,top_writer_neurons,95,-0.6588815789473684,2.3240131578947367,2.982894736842105,95,1.0
22,50,random_neurons_0,95,-0.6588815789473684,-0.6450657894736842,0.01381578947368421,2,0.021052631578947368
22,50,random_neurons_1,95,-0.6588815789473684,-0.6601973684210526,-0.0013157894736842105,1,0.010526315789473684
22,50,random_neurons_2,95,-0.6588815789473684,-0.675,-0.01611842105263158,1,0.010526315789473684
22,50,top_writer_neurons,95,-0.6588815789473684,2.6388157894736843,3.2976973684210527,95,1.0
22,100,random_neurons_0,95,-0.6588815789473684,-0.65625,0.002631578947368421,1,0.010526315789473684
22,100,random_neurons_1,95,-0.6588815789473684,-0.6421052631578947,0.016776315789473684,3,0.031578947368421054
22,100,random_neurons_2,95,-0.6588815789473684,-0.6585526315789474,0.0003289473684210526,0,0.0
22,100,top_writer_neurons,95,-0.6588815789473684,2.8072368421052634,3.4661184210526317,95,1.0
22,200,random_neurons_0,95,-0.6588815789473684,-0.6592105263157895,-0.0003289473684210526,0,0.0
22,200,random_neurons_1,95,-0.6588815789473684,-0.6881578947368421,-0.029276315789473685,0,0.0
22,200,random_neurons_2,95,-0.6588815789473684,-0.7371710526315789,-0.07828947368421052,0,0.0
