component,layer,mode,alpha,control_type,n,normal_margin_mean,intervened_margin_mean,delta_toward_yes_mean,no_to_yes_flips,no_to_yes_flip_rate
attn,4,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.65625,0.002631578947368421,0,0.0
attn,4,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6569078947368421,0.001973684210526316,0,0.0
attn,5,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6585526315789474,0.0003289473684210526,0,0.0
attn,5,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,5,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6592105263157895,-0.0003289473684210526,0,0.0
attn,5,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,5,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,5,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,6,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,6,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6490131578947368,0.009868421052631578,1,0.010526315789473684
attn,6,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,6,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6490131578947368,0.009868421052631578,2,0.021052631578947368
attn,6,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,6,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6440789473684211,0.014802631578947368,1,0.010526315789473684
attn,7,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.65625,0.002631578947368421,0,0.0
attn,7,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6375,0.02138157894736842,3,0.031578947368421054
attn,7,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6552631578947369,0.003618421052631579,1,0.010526315789473684
attn,7,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6197368421052631,0.03914473684210526,5,0.05263157894736842
attn,7,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6552631578947369,0.003618421052631579,1,0.010526315789473684
attn,7,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6016447368421053,0.057236842105263155,5,0.05263157894736842
attn,8,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6546052631578947,0.0042763157894736845,1,0.010526315789473684
attn,8,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,8,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6516447368421052,0.007236842105263158,1,0.010526315789473684
attn,8,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,8,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6539473684210526,0.004934210526315789,1,0.010526315789473684
attn,8,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,9,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6585526315789474,0.0003289473684210526,0,0.0
attn,9,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6404605263157894,0.018421052631578946,2,0.021052631578947368
attn,9,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6592105263157895,-0.0003289473684210526,0,0.0
attn,9,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6292763157894737,0.029605263157894735,3,0.031578947368421054
attn,9,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6585526315789474,0.0003289473684210526,0,0.0
attn,9,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6157894736842106,0.0430921052631579,5,0.05263157894736842
attn,10,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,10,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6519736842105263,0.006907894736842105,1,0.010526315789473684
attn,10,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,10,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6509868421052631,0.007894736842105263,2,0.021052631578947368
attn,10,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,10,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6486842105263158,0.010197368421052632,1,0.010526315789473684
attn,11,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6582236842105263,0.0006578947368421052,0,0.0
attn,11,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6335526315789474,0.02532894736842105,1,0.010526315789473684
attn,11,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6552631578947369,0.003618421052631579,0,0.0
attn,11,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6085526315789473,0.05032894736842105,5,0.05263157894736842
attn,11,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6582236842105263,0.0006578947368421052,0,0.0
attn,11,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.5861842105263158,0.07269736842105264,5,0.05263157894736842
attn,12,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6595394736842105,-0.0006578947368421052,0,0.0
attn,12,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,12,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6592105263157895,-0.0003289473684210526,0,0.0
attn,12,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6585526315789474,0.0003289473684210526,0,0.0
attn,12,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6588815789473684,0.0,0,0.0
attn,12,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.6585526315789474,0.0003289473684210526,0,0.0
attn,13,remove_positive,0.5,random_direction_0,95,-0.6588815789473684,-0.6513157894736842,0.007565789473684211,1,0.010526315789473684
attn,13,remove_positive,0.5,real_direction,95,-0.6588815789473684,-0.6338815789473684,0.025,3,0.031578947368421054
attn,13,remove_positive,1.0,random_direction_0,95,-0.6588815789473684,-0.6470394736842106,0.011842105263157895,3,0.031578947368421054
attn,13,remove_positive,1.0,real_direction,95,-0.6588815789473684,-0.6144736842105263,0.044407894736842105,5,0.05263157894736842
attn,13,remove_positive,1.5,random_direction_0,95,-0.6588815789473684,-0.6394736842105263,0.019407894736842107,3,0.031578947368421054
attn,13,remove_positive,1.5,real_direction,95,-0.6588815789473684,-0.5930921052631579,0.06578947368421052,5,0.05263157894736842
