selection_name,layer,k,alpha,control_type,n,normal_margin_mean,patched_margin_mean,delta_toward_no_mean,delta_toward_no_median,yes_to_no_flips,yes_to_no_flip_rate,patched_no_count,patched_no_rate,normal_yes_rate,num_layers_patched,num_neurons_patched
layerwise_ci_top,23,20,1.0,random_neurons_1,95,0.7651315789473684,0.7651315789473684,0.0,0.0,0,0.0,0,0.0,1.0,1,20
layerwise_ci_top,26,5,1.0,random_neurons_0,95,0.7651315789473684,0.7651315789473684,0.0,0.0,0,0.0,0,0.0,1.0,1,5
layerwise_ci_top,27,1,1.0,random_neurons_0,95,0.7651315789473684,0.7651315789473684,0.0,0.0,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top,27,1,1.0,random_neurons_2,95,0.7651315789473684,0.7651315789473684,0.0,0.0,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top,27,5,1.0,random_neurons_2,95,0.7651315789473684,0.7651315789473684,0.0,0.0,0,0.0,0,0.0,1.0,1,5
layerwise_ci_top,27,10,1.0,random_neurons_1,95,0.7651315789473684,0.7651315789473684,0.0,0.0,0,0.0,0,0.0,1.0,1,10
layerwise_ci_top,27,200,1.0,random_neurons_0,95,0.7651315789473684,0.7651315789473684,0.0,0.0,0,0.0,0,0.0,1.0,1,200
layerwise_ci_top,22,50,1.0,random_neurons_0,95,0.7651315789473684,0.7654605263157894,-0.0003289473684210526,0.0,0,0.0,0,0.0,1.0,1,50
layerwise_ci_top,26,1,1.0,ci_top_neurons,95,0.7651315789473684,0.7654605263157894,-0.0003289473684210526,0.0,0,0.0,0,0.0,1.0,1,1
layerwise_ci_top,26,500,1.0,random_neurons_0,95,0.7651315789473684,0.7654605263157894,-0.0003289473684210526,0.0,0,0.0,0,0.0,1.0,1,500
layerwise_ci_top,27,10,1.0,random_neurons_0,95,0.7651315789473684,0.7654605263157894,-0.0003289473684210526,0.0,0,0.0,0,0.0,1.0,1,10
global_multilayer_ci_top,multi,1,1.0,random_neurons_0,95,0.7651315789473684,0.7657894736842106,-0.0006578947368421052,0.0,0,0.0,0,0.0,1.0,1,1
global_multilayer_ci_top,multi,200,1.0,random_neurons_0,95,0.7651315789473684,0.7657894736842106,-0.0006578947368421052,0.0,0,0.0,0,0.0,1.0,5,200
layerwise_ci_top,20,20,1.0,random_neurons_0,95,0.7651315789473684,0.7657894736842106,-0.0006578947368421052,0.0,0,0.0,0,0.0,1.0,1,20
layerwise_ci_top,20,500,1.0,random_neurons_2,95,0.7651315789473684,0.7657894736842106,-0.0006578947368421052,0.0,0,0.0,0,0.0,1.0,1,500
layerwise_ci_top,27,5,1.0,random_neurons_1,95,0.7651315789473684,0.7657894736842106,-0.0006578947368421052,0.0,0,0.0,0,0.0,1.0,1,5
