layer,k,alpha,control_type,n,normal_margin_mean,intervened_margin_mean,delta_toward_no_mean,yes_to_no_flips,yes_to_no_flip_rate
20,20,0.5,random_neurons_2,95,13.41233552631579,13.396875,0.015460526315789473,0,0.0
20,20,0.5,top_writer_neurons,95,13.41233552631579,10.849506578947368,2.562828947368421,0,0.0
20,20,1.0,random_neurons_0,95,13.41233552631579,13.420559210526315,-0.008223684210526315,0,0.0
20,20,1.0,random_neurons_1,95,13.41233552631579,13.405263157894737,0.007072368421052632,0,0.0
20,20,1.0,random_neurons_2,95,13.41233552631579,13.40888157894737,0.0034539473684210525,0,0.0
20,20,1.0,top_writer_neurons,95,13.41233552631579,8.152302631578948,5.260032894736842,0,0.0
20,20,1.5,random_neurons_0,95,13.41233552631579,13.417434210526316,-0.005098684210526316,0,0.0
20,20,1.5,random_neurons_1,95,13.41233552631579,13.4125,-0.0001644736842105263,0,0.0
20,20,1.5,random_neurons_2,95,13.41233552631579,13.429111842105263,-0.016776315789473684,0,0.0
20,20,1.5,top_writer_neurons,95,13.41233552631579,5.507565789473684,7.9047697368421055,0,0.0
20,20,2.0,random_neurons_0,95,13.41233552631579,13.432565789473685,-0.020230263157894737,0,0.0
20,20,2.0,random_neurons_1,95,13.41233552631579,13.38453947368421,0.027796052631578947,0,0.0
20,20,2.0,random_neurons_2,95,13.41233552631579,13.429605263157894,-0.017269736842105265,0,0.0
20,20,2.0,top_writer_neurons,95,13.41233552631579,3.0907894736842105,10.321546052631579,0,0.0
20,50,0.5,random_neurons_0,95,13.41233552631579,13.40608552631579,0.00625,0,0.0
20,50,0.5,random_neurons_1,95,13.41233552631579,13.428618421052631,-0.016282894736842104,0,0.0
20,50,0.5,random_neurons_2,95,13.41233552631579,13.441940789473684,-0.029605263157894735,0,0.0
20,50,0.5,top_writer_neurons,95,13.41233552631579,10.216282894736842,3.1960526315789473,0,0.0
20,50,1.0,random_neurons_0,95,13.41233552631579,13.403947368421052,0.008388157894736842,0,0.0
20,50,1.0,random_neurons_1,95,13.41233552631579,13.342598684210527,0.06973684210526315,0,0.0
20,50,1.0,random_neurons_2,95,13.41233552631579,13.432236842105263,-0.019901315789473684,0,0.0
20,50,1.0,top_writer_neurons,95,13.41233552631579,7.03421052631579,6.378125,0,0.0
20,50,1.5,random_neurons_0,95,13.41233552631579,13.414802631578947,-0.0024671052631578946,0,0.0
20,50,1.5,random_neurons_1,95,13.41233552631579,13.419736842105262,-0.007401315789473684,0,0.0
20,50,1.5,random_neurons_2,95,13.41233552631579,13.427138157894737,-0.014802631578947368,0,0.0
