selection_name,layer,k,alpha,control_type,selection_source,delta_source,intervention,n,normal_margin_mean,patched_margin_mean,delta_toward_no_mean,delta_toward_no_median,yes_to_no_flips,yes_to_no_flip_rate,patched_no_count,patched_no_rate,normal_yes_rate,num_layers_patched,num_neurons_patched
global_multilayer_top_delta_steer,multi,100,0.25,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.8509868421052632,1.6161184210526316,1.59375,92,0.968421052631579,92,0.968421052631579,1.0,5,100
layerwise_top_delta_steer,22,200,0.5,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.8421052631578947,1.6072368421052632,1.59375,92,0.968421052631579,92,0.968421052631579,1.0,1,200
layerwise_top_delta_steer,20,200,0.5,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.7679276315789474,1.5330592105263159,1.484375,92,0.968421052631579,92,0.968421052631579,1.0,1,200
layerwise_top_delta_steer,20,50,0.5,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.7164473684210526,1.481578947368421,1.4375,91,0.9578947368421052,91,0.9578947368421052,1.0,1,50
layerwise_top_delta_steer,20,100,0.5,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.6690789473684211,1.4342105263157894,1.40625,91,0.9578947368421052,91,0.9578947368421052,1.0,1,100
layerwise_top_delta_steer,22,100,0.5,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.7125,1.4776315789473684,1.46875,89,0.9368421052631579,89,0.9368421052631579,1.0,1,100
layerwise_top_delta_steer,27,200,1.0,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.6898026315789474,1.4549342105263159,1.4375,88,0.9263157894736842,88,0.9263157894736842,1.0,1,200
layerwise_top_delta_steer,22,50,0.5,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.65625,1.4213815789473685,1.40625,87,0.9157894736842105,87,0.9157894736842105,1.0,1,50
layerwise_top_delta_steer,22,200,0.5,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.6338815789473684,1.399013157894737,1.375,87,0.9157894736842105,87,0.9157894736842105,1.0,1,200
layerwise_top_delta_steer,23,200,0.5,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.6615131578947369,1.4266447368421054,1.4375,86,0.9052631578947369,86,0.9052631578947369,1.0,1,200
layerwise_top_delta_steer,20,50,0.5,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.4664473684210526,1.231578947368421,1.1875,81,0.8526315789473684,81,0.8526315789473684,1.0,1,50
layerwise_top_delta_steer,23,100,0.5,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.5868421052631579,1.3519736842105263,1.34375,80,0.8421052631578947,80,0.8421052631578947,1.0,1,100
layerwise_top_delta_steer,23,50,0.5,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.5407894736842105,1.305921052631579,1.28125,79,0.8315789473684211,79,0.8315789473684211,1.0,1,50
layerwise_top_delta_steer,22,100,0.5,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.5049342105263158,1.2700657894736842,1.25,79,0.8315789473684211,79,0.8315789473684211,1.0,1,100
global_multilayer_top_delta_steer,multi,50,0.25,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.45625,1.2213815789473683,1.21875,79,0.8315789473684211,79,0.8315789473684211,1.0,5,50
layerwise_top_delta_steer,27,100,1.0,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.4399671052631579,1.2050986842105262,1.1875,76,0.8,76,0.8,1.0,1,100
layerwise_top_delta_steer,22,50,0.5,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.4256578947368421,1.1907894736842106,1.1875,76,0.8,76,0.8,1.0,1,50
layerwise_top_delta_steer,26,200,1.0,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.2577302631578947,1.022861842105263,0.984375,72,0.7578947368421053,72,0.7578947368421053,1.0,1,200
layerwise_top_delta_steer,20,200,0.25,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.2588815789473684,1.024013157894737,1.0,71,0.7473684210526316,71,0.7473684210526316,1.0,1,200
layerwise_top_delta_steer,23,50,0.5,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.30625,1.0713815789473684,1.0625,70,0.7368421052631579,70,0.7368421052631579,1.0,1,50
layerwise_top_delta_steer,20,100,0.25,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.1713815789473684,0.9365131578947369,0.90625,70,0.7368421052631579,70,0.7368421052631579,1.0,1,100
layerwise_top_delta_steer,23,200,0.5,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.23848684210526316,1.0036184210526315,1.0,69,0.7263157894736842,69,0.7263157894736842,1.0,1,200
layerwise_top_delta_steer,26,200,1.0,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.15148026315789473,0.9166118421052631,0.875,68,0.7157894736842105,68,0.7157894736842105,1.0,1,200
layerwise_top_delta_steer,27,200,1.0,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.1375,0.9026315789473685,0.890625,68,0.7157894736842105,68,0.7157894736842105,1.0,1,200
layerwise_top_delta_steer,23,100,0.5,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.15263157894736842,0.9177631578947368,0.90625,67,0.7052631578947368,67,0.7052631578947368,1.0,1,100
layerwise_top_delta_steer,27,100,1.0,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.12351973684210527,0.8886513157894737,0.875,66,0.6947368421052632,66,0.6947368421052632,1.0,1,100
layerwise_top_delta_steer,22,200,0.25,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.07796052631578948,0.8430921052631579,0.8125,66,0.6947368421052632,66,0.6947368421052632,1.0,1,200
layerwise_top_delta_steer,20,200,0.25,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.06907894736842106,0.8342105263157895,0.8125,65,0.6842105263157895,65,0.6842105263157895,1.0,1,200
layerwise_top_delta_steer,20,50,0.25,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.028618421052631578,0.79375,0.78125,64,0.6736842105263158,64,0.6736842105263158,1.0,1,50
layerwise_top_delta_steer,22,100,0.25,ci_top_neurons,ci,ci,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.010855263157894738,0.7759868421052631,0.78125,64,0.6736842105263158,64,0.6736842105263158,1.0,1,100
layerwise_top_delta_steer,27,200,0.5,base_top_neurons,base,base,add_source_D_minus_A_neuron_delta_to_base,95,0.7651315789473684,-0.006743421052631579,0.771875,0.75,63,0.6631578947368421,63,0.6631578947368421,1.0,1,200
