layer,neuron,A_act_mean,D_act_mean,act_gap_D_minus_A,downproj_dot_direction,writer_score,abs_writer_score,rank_positive,rank_abs,D_minus_A_delta,score_source,selection_name,k,layer_label,control_type,selection_source,delta_source,random_control_id
20,10567,-0.11997777,-0.06942107,0.050556704,0.0167983,0.0008492667,0.0008492667,3373,5958,0.050556699999999996,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,7461,0.07831188,0.04426674,-0.03404514,-0.003858653,0.00013136839,0.00013136839,7539,14167,-0.03404514,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,837,-0.2547826,-0.28889418,-0.03411159,-0.00512087,0.00017468102,0.00017468102,7044,13172,-0.034111579999999975,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,16363,0.008265892,-0.028727729,-0.036993623,0.023543086,-0.00087094406,0.00087094406,16409,5850,-0.036993621000000004,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,13378,-0.28700787,-0.26822832,0.018779546,0.01873844,0.0003518994,0.0003518994,5531,10258,0.018779549999999978,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,13305,0.23904452,0.297477,0.05843249,-0.012429298,-0.0007262748,0.0007262748,16004,6705,0.05843247999999998,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,680,0.07476429,0.06606595,-0.008698337,0.0091909105,-7.994563e-05,7.994563e-05,11600,15573,-0.008698339999999999,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,2243,-0.014307449,-0.1006948,-0.08638735,-0.003732301,0.0003224236,0.0003224236,5729,10625,-0.086387351,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,9777,-0.03703912,-0.017243503,0.019795617,0.0032962644,6.525159e-05,6.525159e-05,8450,16003,0.019795617,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,8362,0.36901984,0.41758582,0.048565984,-0.022497322,-0.0010926046,0.0010926046,16868,4897,0.04856598000000001,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,3363,-0.25571546,-0.23628058,0.019434884,0.0020377177,3.9602808e-05,3.9602808e-05,8883,16922,0.019434880000000015,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,15615,-0.25345844,-0.16078523,0.09267321,-0.010503436,-0.0009733872,0.0009733872,16642,5370,0.09267321,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,5134,0.04592997,-0.00011509845,-0.04604507,0.008838656,-0.00040697653,0.00040697653,14559,9587,-0.04604506845,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,4567,0.13963495,0.26218134,0.12254639,-0.005356805,-0.0006564571,0.0006564571,15767,7192,0.12254638999999998,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,4853,-0.016204221,-0.04623101,-0.030026788,-0.094089605,0.0028252087,0.0028252087,1143,1759,-0.030026789,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,13595,0.1040288,0.0475441,-0.0564847,-0.022698402,0.0012821124,0.0012821124,2480,4226,-0.056484700000000006,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,15744,-0.09378052,-0.1584569,-0.06467639,-0.036943458,0.0023893695,0.0023893695,1369,2162,-0.06467638,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,9858,0.20144042,0.15817486,-0.043265566,0.010826987,-0.00046843573,0.00046843573,14920,8886,-0.04326556000000001,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,4424,-0.00020835274,0.2723273,0.27253565,0.0040840115,0.0011130387,0.0011130387,2785,4821,0.27253565273999997,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,9192,0.2470973,0.28083882,0.03374152,-0.00018979302,-6.4039045e-06,6.4039045e-06,10152,18475,0.03374152,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,2986,0.2078406,0.04840159,-0.15943901,-0.0064280895,0.0010248882,0.0010248882,2952,5157,-0.15943901,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,5125,-0.0006656044,-0.014868621,-0.014203017,-0.008531331,0.00012117064,0.00012117064,7670,14421,-0.0142030166,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,11989,-0.030670974,0.025694296,0.05636527,0.03341097,0.0018832184,0.0018832184,1728,2814,0.056365269999999995,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,16317,0.1493466,0.094435684,-0.05491092,-0.019855719,0.0010902958,0.0010902958,2824,4906,-0.05491091599999999,ci,layerwise_top_delta_steer,50,20,random_ci_source_0,random_ci,ci,0.0
20,8608,-0.027863493,-0.04791676,-0.020053266,-0.008544568,0.00017134649,0.00017134649,7078,13246,-0.020053267000000003,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,18751,-0.27772924,-0.29590872,-0.018179476,-0.006129862,0.00011143768,0.00011143768,7776,14669,-0.018179480000000026,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,6970,-0.007041003,-0.016320184,-0.00927918,-0.023986647,0.00022257642,0.00022257642,6557,12231,-0.009279181000000001,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,15637,0.23066086,0.39574167,0.16508082,0.01703283,0.0028117935,0.0028117935,1152,1772,0.16508081,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,4504,-0.012565688,-0.015694028,-0.0031283395,-0.00013967424,4.3694845e-07,4.3694845e-07,9895,18887,-0.0031283399999999986,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,2172,0.102150686,0.08095414,-0.021196544,0.005391177,-0.00011427432,0.00011427432,12095,14592,-0.02119654600000001,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,3593,0.09329103,-0.01639389,-0.10968492,-0.0050539416,0.0005543412,0.0005543412,4453,8062,-0.10968491999999999,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,13550,0.25555098,0.10705526,-0.14849572,-0.032971583,0.004896139,0.004896139,648,889,-0.14849572,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,6662,0.2652768,0.25745273,-0.007824063,0.017157894,-0.00013424444,0.00013424444,12359,14093,-0.00782406999999996,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,16905,-0.2495053,-0.20702289,0.042482406,0.021142859,0.0008981995,0.0008981995,3239,5714,0.042482410000000026,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,5840,0.08646835,-0.0039954744,-0.09046382,0.012789643,-0.001157,0.001157,16977,4668,-0.0904638244,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,2229,0.109158166,0.17464793,0.06548976,-0.01659272,-0.0010866533,0.0010866533,16851,4928,0.065489764,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,17997,-0.021651424,-0.11548912,-0.09383769,-0.0049826065,0.0004675563,0.0004675563,4865,8894,-0.093837696,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
20,9131,-0.5958599,-0.35023385,0.24562603,0.0050382926,0.0012375358,0.0012375358,2549,4370,0.24562604999999998,ci,layerwise_top_delta_steer,50,20,random_ci_source_1,random_ci,ci,1.0
