pair_index,A_act,D_act,D_minus_A_act,A_margin,D_margin
266,16.609375,-1.3046875,-17.9140625,14.234375,-0.03125
267,15.3671875,-2.03515625,-17.40234375,13.65625,-0.75
268,16.765625,-1.6611328125,-18.4267578125,16.125,0.0
269,17.5,-1.548828125,-19.048828125,17.890625,-0.09375
270,10.03125,-3.529296875,-13.560546875,9.4375,-0.21875
271,16.078125,-2.67578125,-18.75390625,15.171875,-0.71875
272,11.1328125,-3.375,-14.5078125,10.15625,-0.28125
273,14.5390625,-3.30078125,-17.83984375,11.703125,-1.9375
274,13.34375,-2.296875,-15.640625,10.71875,-0.34375
275,16.078125,-2.509765625,-18.587890625,15.171875,-0.625
276,13.34375,-2.98828125,-16.33203125,10.71875,-0.3125
277,9.515625,-4.1640625,-13.6796875,7.53125,-1.40625
278,10.96875,-1.9755859375,-12.9443359375,8.0,-0.65625
279,11.5625,-3.10546875,-14.66796875,9.03125,-0.53125
280,14.984375,-4.38671875,-19.37109375,12.1875,-1.3125
281,2.3828125,-16.6875,-19.0703125,2.28125,-9.328125
282,2.3828125,-16.96875,-19.3515625,2.28125,-10.671875
283,10.234375,-2.72265625,-12.95703125,7.4375,-0.1875
284,15.9140625,-1.1064453125,-17.0205078125,12.875,-0.1875
285,14.984375,-2.263671875,-17.248046875,12.1875,-0.25
286,16.4375,-2.7734375,-19.2109375,13.765625,-0.53125
287,11.125,6.44140625,-4.68359375,10.3125,6.0
288,5.05859375,-9.390625,-14.44921875,5.40625,-4.3125
289,13.515625,-2.296875,-15.8125,12.609375,-0.21875
290,1.2255859375,-17.640625,-18.8662109375,2.0625,-12.6875
291,13.515625,11.625,-1.890625,12.609375,9.859375
292,5.05859375,-3.0234375,-8.08203125,5.40625,-0.96875
293,5.05859375,-9.4765625,-14.53515625,5.40625,-4.8125
294,11.125,5.546875,-5.578125,10.3125,4.40625
295,1.2255859375,-15.1015625,-16.3271484375,2.0625,-8.875
296,11.125,-3.1953125,-14.3203125,10.3125,-0.875
297,8.625,-9.6171875,-18.2421875,6.96875,-4.1875
298,8.625,-15.3046875,-23.9296875,6.96875,-10.65625
299,8.625,-16.515625,-25.140625,6.96875,-11.46875
300,8.625,-19.84375,-28.46875,6.96875,-16.15625
301,8.5625,-13.2109375,-21.7734375,6.40625,-7.4375
302,8.625,-3.642578125,-12.267578125,6.96875,-0.75
303,8.5625,-22.3125,-30.875,6.40625,-18.109375
