layer,k,alpha,control_type,n,normal_margin_mean,intervened_margin_mean,delta_toward_no_mean,yes_to_no_flips,yes_to_no_flip_rate
20,100,2.5,random_neurons_1,95,13.41233552631579,13.468421052631578,-0.056085526315789475,0,0.0
20,100,2.5,random_neurons_2,95,13.41233552631579,13.647368421052631,-0.2350328947368421,0,0.0
20,100,2.5,top_writer_neurons,95,13.41233552631579,-1.387171052631579,14.79950657894737,95,1.0
20,100,3.0,random_neurons_0,95,13.41233552631579,12.055098684210526,1.3572368421052632,0,0.0
20,100,3.0,random_neurons_1,95,13.41233552631579,13.30986842105263,0.1024671052631579,0,0.0
20,100,3.0,random_neurons_2,95,13.41233552631579,13.618585526315789,-0.20625,0,0.0
20,100,3.0,top_writer_neurons,95,13.41233552631579,-2.2457236842105264,15.658059210526316,95,1.0
20,100,4.0,random_neurons_0,95,13.41233552631579,13.32828947368421,0.08404605263157895,0,0.0
20,100,4.0,random_neurons_1,95,13.41233552631579,13.539802631578947,-0.12746710526315788,0,0.0
20,100,4.0,random_neurons_2,95,13.41233552631579,13.511842105263158,-0.09950657894736842,0,0.0
20,100,4.0,top_writer_neurons,95,13.41233552631579,-2.9766447368421054,16.388980263157894,95,1.0
22,20,2.0,random_neurons_0,95,13.41233552631579,13.418256578947368,-0.0059210526315789476,0,0.0
22,20,2.0,random_neurons_1,95,13.41233552631579,13.40625,0.0060855263157894735,0,0.0
22,20,2.0,random_neurons_2,95,13.41233552631579,13.422861842105263,-0.010526315789473684,0,0.0
22,20,2.0,top_writer_neurons,95,13.41233552631579,4.379605263157894,9.032730263157895,0,0.0
22,20,2.5,random_neurons_0,95,13.41233552631579,13.443256578947368,-0.030921052631578946,0,0.0
22,20,2.5,random_neurons_1,95,13.41233552631579,13.401315789473685,0.011019736842105263,0,0.0
22,20,2.5,random_neurons_2,95,13.41233552631579,13.435197368421052,-0.02286184210526316,0,0.0
22,20,2.5,top_writer_neurons,95,13.41233552631579,2.2539473684210525,11.158388157894738,0,0.0
22,20,3.0,random_neurons_0,95,13.41233552631579,13.389473684210527,0.02286184210526316,0,0.0
22,20,3.0,random_neurons_1,95,13.41233552631579,13.410361842105264,0.001973684210526316,0,0.0
22,20,3.0,random_neurons_2,95,13.41233552631579,13.38125,0.031085526315789473,0,0.0
22,20,3.0,top_writer_neurons,95,13.41233552631579,0.4608552631578947,12.951480263157896,16,0.16842105263157894
22,20,4.0,random_neurons_0,95,13.41233552631579,13.551809210526315,-0.1394736842105263,0,0.0
22,20,4.0,random_neurons_1,95,13.41233552631579,13.416940789473685,-0.004605263157894736,0,0.0
22,20,4.0,random_neurons_2,95,13.41233552631579,13.508881578947369,-0.09654605263157895,0,0.0
22,20,4.0,top_writer_neurons,95,13.41233552631579,-2.1388157894736843,15.551151315789474,95,1.0
22,50,2.0,random_neurons_0,95,13.41233552631579,13.453618421052632,-0.04128289473684211,0,0.0
22,50,2.0,random_neurons_1,95,13.41233552631579,13.412828947368421,-0.000493421052631579,0,0.0
22,50,2.0,random_neurons_2,95,13.41233552631579,13.379440789473684,0.03289473684210526,0,0.0
22,50,2.0,top_writer_neurons,95,13.41233552631579,3.410855263157895,10.001480263157895,0,0.0
22,50,2.5,random_neurons_0,95,13.41233552631579,13.404934210526315,0.007401315789473684,0,0.0
22,50,2.5,random_neurons_1,95,13.41233552631579,13.338322368421053,0.07401315789473684,0,0.0
22,50,2.5,random_neurons_2,95,13.41233552631579,13.546875,-0.13453947368421051,0,0.0
22,50,2.5,top_writer_neurons,95,13.41233552631579,1.3391447368421052,12.073190789473685,0,0.0
22,50,3.0,random_neurons_0,95,13.41233552631579,13.449342105263158,-0.03700657894736842,0,0.0
22,50,3.0,random_neurons_1,95,13.41233552631579,13.406578947368422,0.005756578947368421,0,0.0
22,50,3.0,random_neurons_2,95,13.41233552631579,13.40970394736842,0.002631578947368421,0,0.0
22,50,3.0,top_writer_neurons,95,13.41233552631579,-0.3269736842105263,13.739309210526315,76,0.8
22,50,4.0,random_neurons_0,95,13.41233552631579,13.392927631578948,0.019407894736842107,0,0.0
22,50,4.0,random_neurons_1,95,13.41233552631579,13.483223684210527,-0.07088815789473685,0,0.0
22,50,4.0,random_neurons_2,95,13.41233552631579,13.448684210526316,-0.03634868421052632,0,0.0
22,50,4.0,top_writer_neurons,95,13.41233552631579,-2.69375,16.10608552631579,95,1.0
22,100,2.0,random_neurons_0,95,13.41233552631579,13.450986842105262,-0.038651315789473686,0,0.0
22,100,2.0,random_neurons_1,95,13.41233552631579,13.419572368421052,-0.007236842105263158,0,0.0
22,100,2.0,random_neurons_2,95,13.41233552631579,13.407894736842104,0.0044407894736842105,0,0.0
22,100,2.0,top_writer_neurons,95,13.41233552631579,2.85,10.56233552631579,0,0.0
22,100,2.5,random_neurons_0,95,13.41233552631579,13.389309210526315,0.023026315789473683,0,0.0
22,100,2.5,random_neurons_1,95,13.41233552631579,13.439309210526316,-0.026973684210526316,0,0.0
22,100,2.5,random_neurons_2,95,13.41233552631579,13.49407894736842,-0.08174342105263158,0,0.0
22,100,2.5,top_writer_neurons,95,13.41233552631579,0.7753289473684211,12.637006578947368,2,0.021052631578947368
22,100,3.0,random_neurons_0,95,13.41233552631579,14.11891447368421,-0.7065789473684211,0,0.0
22,100,3.0,random_neurons_1,95,13.41233552631579,13.444243421052631,-0.03190789473684211,0,0.0
22,100,3.0,random_neurons_2,95,13.41233552631579,13.452138157894737,-0.03980263157894737,0,0.0
