version,site,layer,n,mean_cosine,median_cosine,std_cosine,mean_base_norm,mean_ci_norm,mean_norm_ratio
A,recipient_last,10,304,0.9999018844805265,0.9999025464057922,2.148957814712935e-05,61.15385488459938,61.17817612698204,1.0003942043094667
A,recipient_last,11,304,0.9998859139649492,0.9998908042907715,2.9958043011879472e-05,63.71755557311209,63.803863989679435,1.0013649111207252
A,recipient_last,12,304,0.9998602382838726,0.9998702704906464,3.642475214099287e-05,67.21750289515445,67.37188395700957,1.002302441611596
A,recipient_last,13,304,0.9998473383878407,0.9998563528060913,3.796961937955279e-05,74.3719321050142,74.48789179952522,1.0015616712451136
A,recipient_last,14,304,0.9998155528385388,0.9998259246349335,4.7316089607781785e-05,75.13764175615813,75.18558793318898,1.0006410590344452
A,recipient_last,15,304,0.9998182048530955,0.999828428030014,4.944596910123912e-05,83.85990873136018,83.90630990580509,1.0005594814922856
A,recipient_last,16,304,0.9997930738486742,0.999802827835083,5.982821243220115e-05,84.95364610772384,84.9180625865334,0.9995762198639667
A,recipient_last,17,304,0.9997606400988603,0.9997749328613281,7.716057732323048e-05,89.85582976592214,89.66271257400513,0.9978552735925097
A,recipient_last,18,304,0.9997714875560058,0.9997836351394653,7.088838986417633e-05,101.05640188016389,100.9057395332738,0.998525077351346
A,recipient_last,19,304,0.9997066980914066,0.9997256994247437,8.700109276245404e-05,109.9156396514491,109.57237103110866,0.9968663707204913
A,recipient_last,20,304,0.9996670049272085,0.9996917247772217,0.00011147787834068114,121.26925189871537,120.75866352884393,0.9957681543513872
A,recipient_last,21,304,0.9996331304703888,0.9996587336063385,0.00011836646979750396,143.52231356972143,142.851874552275,0.9953145132499487
A,recipient_last,22,304,0.9995566324183816,0.9995788633823395,0.00014292300228090942,163.2650163550126,162.39165993740684,0.9946364137740387
A,recipient_last,23,304,0.9995354453199788,0.999559223651886,0.00014962215999451864,201.4489823391563,200.10612337212814,0.9933165448806393
A,recipient_last,24,304,0.9994837435844698,0.9995065927505493,0.00016083708113518534,249.92716146770277,248.10084744503624,0.9926746057159271
A,recipient_last,25,304,0.9993723321117853,0.9993885159492493,0.00019950933674486157,293.2788029720909,291.6733007932964,0.9945087880867743
A,recipient_last,26,304,0.9990536054890407,0.9990966022014618,0.0003437536918039243,367.45804314864307,365.6291849236739,0.9950051345709731
A,recipient_last,27,304,0.997957016880575,0.9981133341789246,0.000657388142489878,286.25433660808363,286.7445636548494,1.0016886194165509
B,final,0,304,0.9999864301399181,0.9999864101409912,4.094426119421335e-07,10.37247101256722,10.370252405342303,0.9997861067792478
B,final,1,304,0.9987650819514927,0.9987658262252808,3.1432136978264025e-05,15.107220850492778,15.210594258810344,1.0068420022768436
B,final,2,304,0.9988755607291272,0.9988752007484436,3.1497979713730525e-05,17.91140281526666,17.85096926438181,0.9966259117865587
