model,model_short,patch_family,experiment,layer,n,mean_patch_effect,median_patch_effect,mean_aligned_effect,median_aligned_effect,mean_abs_effect,flip_rate
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_A_to_B,27,49,0.0,0.0,0.0,0.0,0.0,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,0,49,-3.456951530612245,-2.625,3.456951530612245,2.625,3.6686862244897958,0.04081632653061224
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,1,49,-3.8778698979591835,-3.15625,3.8778698979591835,3.15625,4.107461734693878,0.04081632653061224
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,2,49,-3.960140306122449,-3.125,3.960140306122449,3.125,4.199936224489796,0.04081632653061224
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,3,49,-4.510841836734694,-3.734375,4.510841836734694,3.734375,4.699617346938775,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,4,49,-4.666454081632653,-3.859375,4.666454081632653,3.859375,4.832270408163265,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,5,49,-4.8198341836734695,-3.90625,4.8198341836734695,3.90625,4.9779974489795915,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,6,49,-4.688456632653061,-3.78125,4.688456632653061,3.78125,4.841517857142857,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,7,49,-5.106823979591836,-4.125,5.106823979591836,4.125,5.183354591836735,0.0
Qwen/Qwen2.5-7B-Instruct,Qwen2.5-7B-Instruct,recipient_last_AB,recipient_last_AB_B_to_A,8,49,-4.916454081632653,-4.125,4.916454081632653,4.125,4.949617346938775,0.0
